LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,YEAR,MONTH,DAY,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT
-0.442,116.312,321.2,1.3,1.1,2019,8,1,0230,Terra,MODIS,67,6.0NRT,295.3,16.7,D
-2.144,115.586,321,1.3,1.1,2019,8,1,0230,Terra,MODIS,36,6.0NRT,299.7,15.8,D
-2.12,114.03,311.5,1.7,1.3,2019,8,1,0230,Terra,MODIS,16,6.0NRT,294.1,9.8,D
-0.443,116.319,337.9,1.3,1.1,2019,8,1,0230,Terra,MODIS,0,6.0NRT,295.8,44.3,D
0.091,117.342,318.5,1.1,1.1,2019,8,1,0230,Terra,MODIS,30,6.0NRT,300.3,10.5,D
-0.444,116.324,328.1,1.3,1.1,2019,8,1,0230,Terra,MODIS,0,6.0NRT,295.1,26.7,D
2.143,117.491,312.2,1.2,1.1,2019,8,1,0230,Terra,MODIS,39,6.0NRT,294.5,5.3,D
-2.108,114.031,319.5,1.7,1.3,2019,8,1,0230,Terra,MODIS,73,6.0NRT,295.8,25.4,D
-2.829,112.881,314.1,2,1.4,2019,8,1,0230,Terra,MODIS,47,6.0NRT,290.2,20.8,D
-0.727,117.462,321.5,1.5,1.2,2019,8,1,0525,Aqua,MODIS,67,6.0NRT,294.8,25.9,D
0.558,112.569,313.4,3.6,1.8,2019,8,1,0525,Aqua,MODIS,69,6.0NRT,293.6,47.3,D
0.653,112.898,310.8,3.3,1.7,2019,8,1,0525,Aqua,MODIS,65,6.0NRT,294.7,28.8,D
0.556,112.597,312.4,3.5,1.8,2019,8,1,0525,Aqua,MODIS,58,6.0NRT,293.2,40.8,D
0.551,112.566,310.8,3.6,1.8,2019,8,1,0525,Aqua,MODIS,48,6.0NRT,293.6,31.1,D
0.809,112.643,315.2,3.5,1.8,2019,8,1,0525,Aqua,MODIS,0,6.0NRT,293,58.1,D
1.861,117.254,316.2,1.5,1.2,2019,8,1,0525,Aqua,MODIS,65,6.0NRT,300,13.5,D
1.899,117.287,318.1,1.4,1.2,2019,8,1,0525,Aqua,MODIS,56,6.0NRT,301.6,14.3,D
1.039,111.16,339,4.5,2,2019,8,1,0525,Aqua,MODIS,91,6.0NRT,290.3,330.7,D
1.046,111.192,310.5,4.5,1.9,2019,8,1,0525,Aqua,MODIS,37,6.0NRT,290.6,47.6,D
1.04,111.152,330.7,4.5,2,2019,8,1,0525,Aqua,MODIS,86,6.0NRT,290.3,223.3,D
1.696,112.55,314.2,3.4,1.7,2019,8,1,0525,Aqua,MODIS,70,6.0NRT,294.2,47.3,D
1.691,112.547,313.8,3.4,1.7,2019,8,1,0525,Aqua,MODIS,69,6.0NRT,294.1,48.4,D
1.857,112.514,312.2,3.4,1.7,2019,8,1,0525,Aqua,MODIS,67,6.0NRT,293.4,40.8,D
1.852,112.484,310.3,3.4,1.7,2019,8,1,0525,Aqua,MODIS,63,6.0NRT,293.4,33.3,D
1.852,112.511,314.6,3.4,1.7,2019,8,1,0525,Aqua,MODIS,70,6.0NRT,293.3,52.9,D
1.847,112.481,307.6,3.4,1.7,2019,8,1,0525,Aqua,MODIS,54,6.0NRT,293.1,22.7,D
0.562,112.601,309.5,3.5,1.8,2019,8,1,0525,Aqua,MODIS,59,6.0NRT,293,30.9,D
-0.724,117.471,329.7,1.5,1.2,2019,8,1,0525,Aqua,MODIS,0,6.0NRT,295.2,39.9,D
-0.404,115.757,312.3,2.1,1.4,2019,8,1,0525,Aqua,MODIS,38,6.0NRT,292.7,18.4,D
-0.102,116.611,326.9,1.7,1.3,2019,8,1,0525,Aqua,MODIS,82,6.0NRT,291.8,42.6,D
-0.104,116.595,317.9,1.8,1.3,2019,8,1,0525,Aqua,MODIS,73,6.0NRT,296.3,21.7,D
-0.106,116.606,331.1,1.7,1.3,2019,8,1,0525,Aqua,MODIS,85,6.0NRT,295,54.6,D
-0.094,116.604,310.4,1.7,1.3,2019,8,1,0525,Aqua,MODIS,42,6.0NRT,293.3,8.6,D
