Year,Month,Day,PSI_24_hourly
2009,1,1,19
2009,1,2,20
2009,1,3,16
2009,1,4,14
2009,1,5,20
2009,1,6,24
2009,1,7,26
2009,1,8,33
2009,1,9,39
2009,1,10,43
2009,1,11,44
2009,1,12,46
2009,1,13,42
2009,1,14,42
2009,1,15,45
2009,1,16,42
2009,1,17,42
2009,1,18,37
2009,1,19,34
2009,1,20,34
2009,1,21,34
2009,1,22,26
2009,1,23,20
2009,1,24,21
2009,1,25,21
2009,1,26,16
2009,1,27,34
2009,1,28,25
2009,1,29,27
2009,1,30,30
2009,1,31,27
2009,2,1,26
2009,2,2,26
2009,2,3,32
2009,2,4,26
2009,2,5,28
2009,2,6,30
2009,2,7,38
2009,2,8,31
2009,2,9,34
2009,2,10,26
2009,2,11,26
2009,2,12,37
2009,2,13,45
2009,2,14,45
2009,2,15,52
2009,2,16,53
2009,2,17,37
2009,2,18,25
2009,2,19,21
2009,2,20,27
2009,2,21,25
2009,2,22,26
2009,2,23,20
2009,2,24,20
2009,2,25,25
2009,2,26,26
2009,2,27,26
2009,2,28,23
2009,3,1,18
2009,3,2,17
2009,3,3,17
2009,3,4,24
2009,3,5,26
2009,3,6,26
2009,3,7,30
2009,3,8,37
2009,3,9,22
2009,3,10,22
2009,3,11,25
2009,3,12,26
2009,3,13,26
2009,3,14,26
2009,3,15,20
2009,3,16,21
2009,3,17,31
2009,3,18,23
2009,3,19,22
2009,3,20,32
2009,3,21,34
2009,3,22,22
2009,3,23,31
2009,3,24,24
2009,3,25,32
2009,3,26,30
2009,3,27,31
2009,3,28,27
2009,3,29,25
2009,3,30,20
2009,3,31,27
2009,4,1,30
2009,4,2,32
2009,4,3,28
2009,4,4,18
2009,4,5,23
2009,4,6,23
2009,4,7,35
2009,4,8,36
2009,4,9,22
2009,4,10,24
2009,4,11,22
2009,4,12,27
2009,4,13,18
2009,4,14,29
2009,4,15,23
2009,4,16,19
2009,4,17,25
2009,4,18,34
2009,4,19,32
2009,4,20,35
2009,4,21,27
2009,4,22,22
2009,4,23,28
2009,4,24,26
2009,4,25,28
2009,4,26,25
2009,4,27,37
2009,4,28,31
2009,4,29,38
2009,4,30,35
2009,5,1,26
2009,5,2,31
2009,5,3,23
2009,5,4,20
2009,5,5,27
2009,5,6,27
2009,5,7,23
2009,5,8,28
2009,5,9,26
2009,5,10,24
2009,5,11,35
2009,5,12,43
2009,5,13,22
2009,5,14,22
2009,5,15,37
2009,5,16,39
2009,5,17,38
2009,5,18,33
2009,5,19,53
2009,5,20,40
2009,5,21,38
2009,5,22,41
2009,5,23,22
2009,5,24,33
2009,5,25,27
2009,5,26,28
2009,5,27,39
2009,5,28,26
2009,5,29,33
2009,5,30,39
2009,5,31,26
2009,6,1,22
2009,6,2,26
2009,6,3,20
2009,6,4,17
2009,6,5,23
2009,6,6,27
2009,6,7,24
2009,6,8,36
2009,6,9,24
2009,6,10,24
2009,6,11,21
2009,6,12,30
2009,6,13,24
2009,6,14,30
2009,6,15,24
2009,6,16,32
2009,6,17,20
2009,6,18,22
2009,6,19,23
2009,6,20,27
2009,6,21,25
2009,6,22,28
2009,6,23,31
2009,6,24,37
2009,6,25,33
2009,6,26,26
2009,6,27,36
2009,6,28,25
2009,6,29,35
2009,6,30,26
2009,7,1,28
2009,7,2,25
2009,7,3,24
2009,7,4,27
2009,7,5,21
2009,7,6,23
2009,7,7,35
2009,7,8,33
2009,7,9,34
2009,7,10,41
2009,7,11,36
2009,7,12,41
2009,7,13,27
2009,7,14,30
2009,7,15,30
2009,7,16,34
2009,7,17,35
2009,7,18,42
2009,7,19,35
2009,7,20,37
2009,7,21,34
2009,7,22,33
2009,7,23,42
2009,7,24,32
2009,7,25,33
2009,7,26,28
2009,7,27,23
2009,7,28,25
2009,7,29,23
2009,7,30,29
2009,7,31,37
2009,8,1,39
2009,8,2,38
2009,8,3,40
2009,8,4,43
2009,8,5,49
2009,8,6,58
2009,8,7,48
2009,8,8,48
2009,8,9,51
2009,8,10,34
2009,8,11,43
2009,8,12,27
2009,8,13,29
2009,8,14,35
2009,8,15,42
2009,8,16,29
2009,8,17,32
2009,8,18,34
2009,8,19,28
2009,8,20,33
2009,8,21,42
2009,8,22,40
2009,8,23,33
2009,8,24,30
2009,8,25,29
2009,8,26,26
2009,8,27,26
2009,8,28,19
2009,8,29,28
2009,8,30,28
2009,8,31,32
2009,9,1,41
2009,9,2,26
2009,9,3,38
2009,9,4,39
2009,9,5,29
2009,9,6,27
2009,9,7,41
2009,9,8,41
2009,9,9,43
2009,9,10,42
2009,9,11,41
2009,9,12,40
2009,9,13,49
2009,9,14,41
2009,9,15,53
2009,9,16,59
2009,9,17,46
2009,9,18,24
2009,9,19,38
2009,9,20,32
2009,9,21,36
2009,9,22,35
2009,9,23,45
2009,9,24,37
2009,9,25,44
2009,9,26,49
2009,9,27,53
2009,9,28,34
2009,9,29,42
2009,9,30,48
2009,10,1,53
2009,10,2,54
2009,10,3,51
2009,10,4,24
2009,10,5,22
2009,10,6,26
2009,10,7,28
2009,10,8,30
2009,10,9,34
2009,10,10,35
2009,10,11,34
2009,10,12,42
2009,10,13,33
2009,10,14,21
2009,10,15,32
2009,10,16,41
2009,10,17,38
2009,10,18,28
2009,10,19,46
2009,10,20,34
2009,10,21,41
2009,10,22,46
2009,10,23,50
2009,10,24,53
2009,10,25,47
2009,10,26,38
2009,10,27,39
2009,10,28,38
2009,10,29,48
2009,10,30,26
2009,10,31,21
2009,11,1,28
2009,11,2,27
2009,11,3,28
2009,11,4,21
2009,11,5,21
2009,11,6,28
2009,11,7,34
2009,11,8,31
2009,11,9,25
2009,11,10,26
2009,11,11,50
2009,11,12,51
2009,11,13,33
2009,11,14,23
2009,11,15,21
2009,11,16,21
2009,11,17,21
2009,11,18,30
2009,11,19,23
2009,11,20,18
2009,11,21,22
2009,11,22,18
2009,11,23,15
2009,11,24,27
2009,11,25,26
2009,11,26,24
2009,11,27,24
2009,11,28,22
2009,11,29,15
2009,11,30,21
2009,12,1,26
2009,12,2,23
2009,12,3,20
2009,12,4,21
2009,12,5,24
2009,12,6,23
2009,12,7,34
2009,12,8,31
2009,12,9,29
2009,12,10,27
2009,12,11,30
2009,12,12,24
2009,12,13,26
2009,12,14,23
2009,12,15,23
2009,12,16,23
2009,12,17,20
2009,12,18,20
2009,12,19,16
2009,12,20,13
2009,12,21,20
2009,12,22,28
2009,12,23,30
2009,12,24,26
2009,12,25,17
2009,12,26,24
2009,12,27,22
2009,12,28,25
2009,12,29,26
2009,12,30,28
2009,12,31,29
2010,1,1,29
2010,1,2,20
2010,1,3,19
2010,1,4,17
2010,1,5,20
2010,1,6,21
2010,1,7,19
2010,1,8,18
2010,1,9,26
2010,1,10,28
2010,1,11,26
2010,1,12,29
2010,1,13,28
2010,1,14,33
2010,1,15,39
2010,1,16,39
2010,1,17,38
2010,1,18,26
2010,1,19,38
2010,1,20,41
2010,1,21,38
2010,1,22,29
2010,1,23,25
2010,1,24,17
2010,1,25,21
2010,1,26,25
2010,1,27,22
2010,1,28,29
2010,1,29,31
2010,1,30,28
2010,1,31,31
2010,2,1,29
2010,2,2,32
2010,2,3,29
2010,2,4,26
2010,2,5,26
2010,2,6,31
2010,2,7,27
2010,2,8,29
2010,2,9,32
2010,2,10,25
2010,2,11,33
2010,2,12,30
2010,2,13,27
2010,2,14,27
2010,2,15,25
2010,2,16,25
2010,2,17,23
2010,2,18,25
2010,2,19,33
2010,2,20,28
2010,2,21,28
2010,2,22,37
2010,2,23,38
2010,2,24,32
2010,2,25,36
2010,2,26,29
2010,2,27,29
2010,2,28,27
2010,3,1,24
2010,3,2,33
2010,3,3,33
2010,3,4,38
2010,3,5,37
2010,3,6,36
2010,3,7,42
2010,3,8,38
2010,3,9,47
2010,3,10,36
2010,3,11,42
2010,3,12,33
2010,3,13,39
2010,3,14,27
2010,3,15,33
2010,3,16,30
2010,3,17,33
2010,3,18,40
2010,3,19,23
2010,3,20,16
2010,3,21,16
2010,3,22,18
2010,3,23,19
2010,3,24,25
2010,3,25,29
2010,3,26,37
2010,3,27,33
2010,3,28,29
2010,3,29,32
2010,3,30,32
2010,3,31,32
2010,4,1,29
2010,4,2,30
2010,4,3,20
2010,4,4,16
2010,4,5,24
2010,4,6,17
2010,4,7,19
2010,4,8,23
2010,4,9,22
2010,4,10,28
2010,4,11,37
2010,4,12,26
